p,lambda
6.5431304,0.15413822
1.7882684,0.5714259
1.1798353,0.8216747
3.6642098,0.26865083
3.2761912,0.32636815
6.0462046,0.16579145
5.2902746,0.1874921
8.045701,0.12446211
3.2310362,0.3044486
0.78071994,1.2845582
7.2250137,0.13913357
3.1407585,0.3168191
4.6959805,0.21914199
1.4372013,0.72010624
1.4681865,0.6958096
4.180567,0.23570068
8.615064,0.1149596
0.9551869,1.0195894
4.8489537,0.2080144
1.2526214,0.7913594
3.2561693,0.30390018
8.486595,0.116306245
8.493817,0.11836724
2.6438835,0.37964264
8.857273,0.11037057
5.926555,0.17397165
5.547599,0.18099202
9.731709,0.100017056
6.3241663,0.16090828
4.2158012,0.2332754
4.8353753,0.21446355
9.774661,0.10511884
4.5943236,0.22017355
2.5603426,0.4091167
4.9322376,0.19926812
2.220706,0.45338035
5.41382,0.18387146
8.606674,0.11418629
0.60345316,1.6156642
1.9969044,0.5123228
7.472967,0.1332621
1.9155935,0.5123963
2.1352494,0.46370026
5.9343657,0.17909685
4.997609,0.20033844
0.41133144,2.3984683
1.338819,0.74403787
7.733531,0.13246115
4.491456,0.2222756
2.7491016,0.36258212
2.7217455,0.36709714
6.816426,0.1452394
6.776063,0.14688691
7.0984364,0.14483713
6.5433116,0.15222122
4.8405957,0.20632435
4.130553,0.22814715
2.7780216,0.36513022
2.3052902,0.44469428
9.085592,0.108595535
0.46575254,2.1681452
6.866989,0.14249918
2.3412292,0.42996883
4.6596746,0.2162049
9.459319,0.101011716
9.590439,0.1065668
2.552371,0.40220514
0.5672983,1.7579669
9.7127695,0.100721486
6.7249255,0.14870422
8.318472,0.11988032
8.315111,0.122532666
4.5348363,0.22031562
6.076408,0.1641851
2.2945824,0.44467947
2.5043283,0.40471014
5.2723,0.19011118
8.7455015,0.11282364
4.0055084,0.24599488
3.1642075,0.3119228
4.8610606,0.20251647
1.2390815,0.8014744
5.323866,0.19238968
7.1558433,0.13888344
4.796493,0.20758134
7.933771,0.12094867
2.117983,0.48232654
7.406681,0.13410535
8.2620535,0.12267599
7.2467713,0.13948743
7.567681,0.13051787
8.362309,0.12086398
0.57117945,1.7000209
4.6975355,0.21008906
5.8191233,0.17716591
3.7500932,0.26188177
4.4426107,0.22723658
9.388732,0.10664606
0.3861502,2.5506794
9.928551,0.10380551
8.833818,0.113008216
1.6651111,0.6102485
4.709459,0.22133975
8.243454,0.11774957
3.4727008,0.28766704
5.6914206,0.17906365
3.9151876,0.25508404
9.22415,0.11103962
4.0492473,0.25026116
4.550859,0.22087885
4.3830004,0.23047662
5.339635,0.18436852
9.280474,0.10442849
5.9904284,0.16086791
0.28274852,3.5576963
5.812525,0.16861792
0.6111986,1.6811742
2.4251666,0.40239382
9.404898,0.10260132
0.19566451,4.903748
9.835909,0.10456242
1.4227409,0.7037076
2.8140242,0.35940915
3.741441,0.26064768
8.265282,0.124767795
9.134424,0.10617129
7.740123,0.12909348
2.8106675,0.3525589
8.6441965,0.11810763
4.505387,0.21683384
0.7543337,1.3144363
5.026828,0.19765423
0.5654387,1.7658893
4.188684,0.23877773
5.501082,0.18444489
1.8148059,0.56154764
0.6495232,1.5296116
9.070359,0.10994143
6.668567,0.15049456
4.2542253,0.23696722
7.577387,0.13172783
3.4685414,0.29152247
7.660768,0.13136074
5.935941,0.17127381
3.0505354,0.3238195
7.5542293,0.13299714
4.08782,0.24192026
6.3564997,0.15174727
5.9190383,0.16662225
5.3075743,0.18908727
7.83261,0.12641342
1.4746687,0.66487455
0.5096985,1.989339
0.595536,1.7211754
4.7006297,0.2157175
1.6261443,0.62375855
7.344793,0.13259214
3.634213,0.27828857
4.417472,0.23396486
1.4959939,0.6864377
4.552677,0.2201776
8.608781,0.11896507
6.1482043,0.16195615
0.40930915,2.4282138
5.9408216,0.17001472
7.8688025,0.12827085
6.0109277,0.16442026
3.655134,0.27272674
7.196171,0.14204898
9.824949,0.10085232
4.734258,0.21204261
0.69085187,1.4579704
8.160563,0.12503186
6.528635,0.15305676
6.5878806,0.15279317
3.0864017,0.33203158
5.2559485,0.18860371
6.312822,0.15649287
9.030629,0.10770897
3.1117449,0.32635337
1.5681881,0.63213086
1.0058483,0.9839771
0.5511882,1.7504141
2.0799217,0.47683728
4.2460127,0.23111893
2.4981332,0.39802027
8.208052,0.12105891
1.9849708,0.504329
3.5014653,0.29500407
8.85202,0.11056302
8.1279745,0.12289533
3.4857194,0.2838146
7.178759,0.13856041
2.420588,0.4147514
9.518802,0.106981106
9.690481,0.10350447
4.507442,0.22301428
0.22155982,4.5774837
9.048466,0.11096838
0.22886516,4.3376794
1.4853165,0.6740172
8.636478,0.11625325
9.114184,0.10643962
8.590082,0.11837366
2.6638825,0.3773406
9.671513,0.10503498
7.1218767,0.14130239
2.9043608,0.33662018
1.3187932,0.74994546
1.8656166,0.53697795
0.7187453,1.3607463
