n,omega,E
4.0,0.7261018,3.1948485
4.0,2.7425835,12.052345
4.0,0.57249874,2.519911
8.0,1.1020701,9.421724
3.0,0.8575547,3.0761743
1.0,2.4419198,3.631281
3.0,0.9955106,3.3099542
0.0,2.7765956,1.3409848
1.0,2.1406727,3.1575112
0.0,0.5904068,0.29191053
8.0,0.5135746,4.3297286
7.0,0.6291448,4.722227
7.0,2.014813,15.016881
5.0,2.5037045,14.059371
7.0,1.096382,8.11169
1.0,2.623522,3.867414
9.0,0.6430799,6.16777
5.0,2.5024097,13.340545
10.0,2.8194885,29.835363
1.0,2.430271,3.6528833
5.0,2.245302,12.312745
7.0,2.5949504,20.080353
5.0,0.6003783,3.260989
4.0,1.0044553,4.706302
1.0,0.8123092,1.2129701
4.0,1.7613275,7.7235417
2.0,2.3629704,5.9156866
3.0,2.0750296,7.106277
7.0,2.6278276,19.412386
6.0,0.8880325,5.818046
6.0,2.3365526,15.356351
3.0,0.9826037,3.3963192
10.0,1.1768969,12.601454
0.0,2.2747617,1.1637114
3.0,2.950512,10.62344
1.0,2.028859,3.0755115
3.0,0.6362508,2.2876015
10.0,2.0407724,20.62207
4.0,0.6058764,2.7091086
9.0,2.7103643,25.30198
5.0,2.2739458,12.536525
7.0,0.9328196,6.9161882
5.0,0.7293025,3.997834
2.0,0.9588331,2.4873173
8.0,2.950068,24.990461
10.0,1.6464016,17.430285
2.0,2.4602025,6.1219344
8.0,2.0910208,17.800592
2.0,1.9310329,4.828163
7.0,0.86282563,6.5292163
8.0,2.865061,24.920595
4.0,1.2533566,5.8259344
8.0,1.9450431,16.635244
2.0,2.24944,5.6899076
0.0,2.1230829,1.0371076
1.0,2.851486,4.2697115
4.0,0.87109745,3.9936562
9.0,1.7708819,17.114748
1.0,1.5100859,2.2747154
5.0,1.6854218,9.4341545
7.0,0.7980438,6.044076
2.0,0.83523655,2.1382184
7.0,1.1951889,9.015793
3.0,1.2617615,4.384749
8.0,1.569758,13.432566
6.0,2.027469,12.406128
6.0,2.086573,13.666584
1.0,1.5295272,2.1268804
5.0,1.5219578,8.082233
9.0,1.0440713,10.008296
0.0,1.9707656,0.9947938
8.0,1.2926023,10.731685
5.0,0.5901496,3.1995955
7.0,1.5460001,11.912829
7.0,1.6853317,12.517625
4.0,1.0639821,5.002698
3.0,1.9311448,6.7587476
6.0,1.9144298,12.545343
1.0,2.2550054,3.49189
6.0,2.1198711,13.815271
1.0,2.1310825,3.1325414
7.0,1.2905353,9.657774
6.0,2.4685805,16.034344
0.0,1.8728609,0.91087073
8.0,1.5785455,13.348983
4.0,2.0650313,9.154702
8.0,1.4016434,12.134225
0.0,1.7818481,0.89154077
1.0,2.3417642,3.492779
5.0,2.7160072,14.906317
2.0,2.802643,7.037874
3.0,1.7590823,6.23274
7.0,1.8006878,13.235133
1.0,2.499676,3.671405
7.0,1.2861267,9.859064
1.0,2.5934558,3.8581023
1.0,1.7353541,2.5292695
6.0,0.7896418,5.178231
8.0,0.6801479,5.8348346
1.0,2.604983,3.78785
3.0,0.6389198,2.2464826
10.0,1.2015285,12.801653
10.0,1.3353251,14.125899
6.0,0.9324861,6.1377707
4.0,1.2847334,5.6189303
3.0,2.3567314,8.303172
6.0,0.5367071,3.4674819
6.0,2.5679336,16.530397
3.0,2.64137,9.405757
0.0,1.4306539,0.73649025
1.0,0.88403225,1.3736368
10.0,2.002101,21.57486
4.0,0.7991814,3.5884235
5.0,1.4122984,7.822438
5.0,2.8960729,16.172686
8.0,2.9886613,25.465189
0.0,2.4302623,1.218309
0.0,1.2774038,0.6492246
3.0,2.2191627,7.75786
5.0,2.263516,12.2677555
7.0,1.4696043,10.930665
5.0,2.1022215,11.708806
4.0,0.5268191,2.370828
10.0,1.0226442,10.810825
1.0,1.8127208,2.755521
6.0,0.9093783,5.8666453
5.0,0.91476715,5.1073165
5.0,2.5907607,14.357147
8.0,2.9728324,24.645023
2.0,1.8899236,4.861101
10.0,2.5976744,27.002419
3.0,2.975804,10.070548
5.0,0.8539897,4.598773
5.0,1.620614,8.731359
9.0,1.4814318,14.088288
4.0,0.7001232,3.1332989
3.0,2.3883255,8.302827
0.0,1.5844476,0.80204266
4.0,1.6733173,7.5811124
9.0,0.87668246,8.381127
0.0,0.95231664,0.48006117
9.0,2.767759,26.61772
5.0,0.61162275,3.2221053
1.0,1.0821307,1.611365
3.0,1.2301483,4.11778
6.0,1.7254939,11.2238
3.0,1.966113,6.880758
1.0,1.733225,2.6542017
7.0,0.71028835,5.453697
7.0,1.1091686,8.352502
1.0,2.6089709,3.8742936
3.0,2.0939717,7.4000154
2.0,2.1228726,5.2511463
7.0,2.175508,16.315857
8.0,2.4072576,20.86525
7.0,0.6452712,4.785547
10.0,1.416521,15.113135
8.0,1.8488185,15.927864
3.0,1.3461412,4.6215243
1.0,2.6111972,3.9930866
6.0,1.7064313,11.246771
10.0,2.4215689,25.478306
10.0,2.6300387,27.194368
2.0,1.7619787,4.329252
2.0,2.7738807,6.8601313
0.0,1.9678098,0.9945821
1.0,2.6256857,3.8632534
6.0,1.351477,8.861467
6.0,1.7470424,11.073754
4.0,1.8285276,8.194792
3.0,0.76244926,2.6744244
9.0,1.4963813,14.910803
5.0,2.7933443,14.940189
8.0,2.0770805,18.174957
10.0,0.9437665,9.939245
3.0,1.3471391,4.7537603
2.0,0.97900754,2.453312
10.0,0.56205785,5.9540997
6.0,2.8186512,18.264917
3.0,1.6205183,5.836756
6.0,1.2688377,8.172151
5.0,1.9961929,11.227678
9.0,0.51828617,4.860265
2.0,1.1950552,2.9840379
10.0,2.2575836,23.196419
10.0,2.0844245,22.085634
1.0,2.954515,4.5598617
1.0,2.0508943,3.0715818
5.0,1.6937647,9.279024
0.0,2.4035814,1.175
3.0,2.7583196,9.609846
4.0,2.30174,10.027872
10.0,2.9080281,29.976814
10.0,2.455013,25.894558
1.0,2.6670036,4.10604
9.0,0.7852602,7.8791046
1.0,2.3310337,3.4555302
8.0,1.6002218,13.99234
9.0,1.8827595,17.973412
9.0,2.135256,20.223572
2.0,2.924538,7.3746014
9.0,2.961445,28.168568
1.0,1.2205706,1.8348982
5.0,2.3343837,12.734258
5.0,2.3749588,12.697023
3.0,1.3662322,4.6341863
0.0,0.80967444,0.4101264
8.0,0.6023674,5.0917883
3.0,2.4433577,8.4498
7.0,1.7242494,12.934071
4.0,2.9638505,13.549373
4.0,1.6624336,7.507937
9.0,2.9447925,27.60846
1.0,1.52894,2.3496578
8.0,2.4842055,21.782661
8.0,0.7120482,6.1122746
4.0,1.8886542,8.664447
2.0,2.5051494,6.4184384
0.0,2.8117542,1.4376527
10.0,2.5564578,27.17249
10.0,0.59242684,6.294922
2.0,1.4317559,3.6165912
0.0,0.6217462,0.30405045
1.0,0.77320576,1.1760627
0.0,2.1882641,1.0644633
9.0,2.2831454,21.345186
9.0,2.4343016,23.728786
1.0,2.6636415,4.0626035
8.0,2.3485787,20.556776
1.0,2.502179,3.7328749
4.0,0.6224093,2.7362964
6.0,1.0863379,7.0272408
7.0,2.0547445,15.442031
9.0,2.6453133,25.170176
0.0,0.5112503,0.2614211
2.0,1.7865734,4.4341617
3.0,2.1932185,7.730311
3.0,0.57401824,1.9693394
10.0,1.5033889,15.927753
8.0,2.739087,23.283688
3.0,2.179032,7.5122414
10.0,1.0941459,11.434345
5.0,2.6319528,14.422419
5.0,1.3700786,7.494717
4.0,2.6333616,12.269939
1.0,1.2473592,1.8673548
10.0,1.9758006,20.64471
0.0,1.4923502,0.7148738
1.0,1.1870626,1.7487495
2.0,2.716394,6.7552547
3.0,0.9689842,3.344924
1.0,0.712029,1.0975579
0.0,1.3548174,0.6751741
7.0,2.294098,17.649107
10.0,2.518579,26.477715
1.0,2.9968584,4.4986343
3.0,1.2409052,4.335455
5.0,1.5198549,8.359838
10.0,0.8420532,9.145495
7.0,1.9371798,13.854823
8.0,2.9939501,24.429846
6.0,2.2522025,14.480284
4.0,1.9880321,8.948744
2.0,1.4809227,3.7534063
9.0,2.7882469,26.738972
8.0,1.7422915,14.695667
0.0,0.8359173,0.42647702
7.0,1.4134462,10.819265
0.0,0.66791666,0.33518767
8.0,1.0049475,8.706515
9.0,0.5441719,5.197823
1.0,1.6331998,2.4222894
4.0,2.0863507,9.5196085
1.0,1.3582312,2.041854
6.0,1.5509545,10.081474
10.0,2.8980231,31.32566
0.0,2.3799078,1.1316254
4.0,1.8521416,8.09832
10.0,1.2113522,12.417227
3.0,2.742492,9.528985
1.0,1.0877428,1.6233058
5.0,1.3133569,7.005701
5.0,2.772662,14.949174
7.0,1.8238552,13.443406
3.0,2.355795,8.650525
10.0,1.976862,21.505026
5.0,2.133598,11.638154
3.0,1.2484583,4.3378296
10.0,1.1034302,11.319723
10.0,1.3062309,13.192008
5.0,0.8886039,4.875897
0.0,2.685786,1.3160928
6.0,1.2081174,7.8394365
6.0,1.9037235,11.978177
1.0,2.4799361,3.6632147
6.0,2.4595602,16.034662
9.0,1.5959656,15.27272
1.0,1.6906433,2.557139
7.0,2.9867544,21.809061
1.0,2.1864936,3.3358033
8.0,2.536596,21.215998
4.0,2.7563848,12.560728
0.0,2.4689746,1.2342247
10.0,0.9629484,9.832626
1.0,1.9054269,2.8400655
6.0,0.7547354,4.941628
1.0,2.1323054,3.237669
10.0,2.8883736,30.242405
8.0,1.7818302,15.6095495
8.0,1.5824312,13.7217
4.0,0.5896069,2.6396117
5.0,2.8994362,16.186142
6.0,0.7575067,5.114226
8.0,0.60269773,5.323799
9.0,1.1151665,10.333891
0.0,0.6638261,0.32576248
7.0,1.6377946,12.648258
1.0,1.7902195,2.6284928
3.0,1.2814249,4.366356
9.0,0.62740123,5.9023547
2.0,0.77900094,1.9638702
8.0,1.4612609,12.395282
5.0,0.6513211,3.5356562
2.0,2.2454743,5.537989
3.0,1.0175513,3.5106907
5.0,1.2551789,6.7820506
8.0,1.4853145,13.201294
6.0,1.541524,10.079527
10.0,0.50415176,5.3874764
9.0,0.7801759,7.3391733
8.0,2.6569114,22.499754
6.0,0.50308263,3.2233703
3.0,1.7704184,5.8678403
4.0,1.723755,7.543116
1.0,1.3327354,1.9267108
4.0,1.5783175,6.7828503
10.0,2.4514527,25.124876
4.0,2.6030092,12.023939
